0,"groupesd’âges",,Effectifs,,
1,,Masculin,Féminin,Ensemble,
2,00 - 04,6 810,5 310,12 120,
3,05 - 09,15 541,11 397,26 938,
4,10 - 14,20 999,15 015,36 014,
5,15 – 19,22 939,15 346,38 285,
6,20 - 24,25 819,16 108,41 927,
7,25 - 29,25 929,15 329,41 258,
8,30 - 34,26 843,16 002,42 845,
9,35 - 39,25 586,15 471,41 057,
10,40 - 44,28 273,17 635,45 908,
11,45 - 49,25 433,15 734,41 167,
12,50 - 54,24 774,17 799,42 573,
13,55 - 59,18 603,15 115,33 718,
14,60 - 64,21 484,22 655,44 139,
15,65 - 69,20 661,20 266,40 927,
16,70 - 74,24 733,26 936,51 669,
17,75 ans & +,46 455,46 649,93 104,
18,ND,644,507,1 151,
